Manufacturer,Model,Mode,Laser Power (W),AM Process,General Material Type,Specific Material Type,X (in),Y (in),Z (in),Price (USD)
3D Systems,iPro 8000,RDM 650M,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS, ABS/PP, PC, PP",25.6,13.7,11.8,"$500,000 - $999,999"
3D Systems,iPro 8000,RDM 750F,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS, ABS/PP, PC, PP",25.6,29.5,21.65,"$500,000 - $999,999"
3D Systems,iPro 8000,RDM 750H,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS, ABS/PP, PC, PP",25.6,29.5,10.8,"$500,000 - $999,999"
3D Systems,iPro 8000,RDM 750SH,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS, ABS/PP, PC, PP",25.6,29.5,1.97,"$500,000 - $999,999"
3D Systems,iPro 8000 MP,RDM 650M,,Vat Photopolymerization (e.g. SLA),Polymer,PP,25.6,13.7,11.8,"$250,000 - $499,999"
3D Systems,iPro 8000 MP,RDM 750F,,Vat Photopolymerization (e.g. SLA),Polymer,PP,25.6,29.5,21.65,"$250,000 - $499,999"
3D Systems,iPro 8000 MP,RDM 750H,,Vat Photopolymerization (e.g. SLA),Polymer,PP,25.6,29.5,10.8,"$250,000 - $499,999"
3D Systems,iPro 8000 MP,RDM 750SH,,Vat Photopolymerization (e.g. SLA),Polymer,PP,25.6,29.5,1.97,"$250,000 - $499,999"
3D Systems,Phenix PXL,N/A,500,Powder Bed Fusion (e.g. SLS),"Ceramic, Metal",,9.84,9.84,11.81,"$250,000 - $499,999"
3D Systems,Phenix PXM,N/A,300,Powder Bed Fusion (e.g. SLS),"Ceramic, Metal",,5.51,5.51,3.94,"$250,000 - $499,999"
3D Systems,Phenix PXS,N/A,50,Powder Bed Fusion (e.g. SLS),"Ceramic, Metal",,3.94,3.94,3.15,"$100,000 - $249,999"
3D Systems,ProJet 1200,Standard,,Vat Photopolymerization (e.g. SLA),Polymer,,1.69,1.06,7.09,"Less than $49,999"
3D Systems,ProJet 160,Monochrome,,Binder Jetting,Composite,Gypsum,9.3,7.3,5,"Less than $49,999"
3D Systems,ProJet 260C,Basic CMY,,Binder Jetting,Composite,Gypsum,9.3,7.3,5,"Less than $49,999"
3D Systems,ProJet 3500 CP,HD,,Material Jetting,Wax,Wax,11.75,7.3,8,"$50,000 - $99,999"
3D Systems,ProJet 3500 CP,HDHiQ,,Material Jetting,Wax,Wax,11.75,7.3,8,"$50,000 - $99,999"
3D Systems,ProJet 3500 CPX,HD,,Material Jetting,Wax,Wax,11.75,7.3,8,"$50,000 - $99,999"
3D Systems,ProJet 3500 CPX,HDHiQ,,Material Jetting,Wax,Wax,11.75,7.3,8,"$50,000 - $99,999"
3D Systems,ProJet 3500 CPX,XHD,,Material Jetting,Wax,Wax,5,6,7,"$50,000 - $99,999"
3D Systems,ProJet 3500 CPXMax,HD,,Material Jetting,Wax,Wax,11.75,7.3,8,"$50,000 - $99,999"
3D Systems,ProJet 3500 CPXMax,HDHiQ,,Material Jetting,Wax,Wax,11.75,7.3,8,"$50,000 - $99,999"
3D Systems,ProJet 3500 CPXMax,UHD,,Material Jetting,Wax,Wax,11.75,7.3,8,"$50,000 - $99,999"
3D Systems,ProJet 3500 CPXMax,XHD,,Material Jetting,Wax,Wax,11.75,7.3,8,"$50,000 - $99,999"
3D Systems,ProJet 3500 CPXPlus,HD,,Material Jetting,Wax,Wax,11.75,7.3,8,"$50,000 - $99,999"
3D Systems,ProJet 3500 CPXPlus,HDHiQ,,Material Jetting,Wax,Wax,11.75,7.3,8,"$50,000 - $99,999"
3D Systems,ProJet 3500 CPXPlus,UHD,,Material Jetting,Wax,Wax,8,7,6,"$50,000 - $99,999"
3D Systems,ProJet 3500 CPXPlus,XHD,,Material Jetting,Wax,Wax,8,7,6,"$50,000 - $99,999"
3D Systems,ProJet 3500 DP,HD,,Material Jetting,Polymer,Acrylic,11.75,7.3,8,"$50,000 - $99,999"
3D Systems,ProJet 3500 DP,UHD,,Material Jetting,Polymer,Acrylic,8,7,6,"$50,000 - $99,999"
3D Systems,ProJet 3500 HD,HD,,Material Jetting,Polymer,ABS,11.75,7.3,8,"$50,000 - $99,999"
3D Systems,ProJet 3500 HD,UHD,,Material Jetting,Polymer,ABS,5,6,7,"$50,000 - $99,999"
3D Systems,ProJet 3500 HDMax,HD,,Material Jetting,Polymer,ABS,11.75,7.3,8,"$50,000 - $99,999"
3D Systems,ProJet 3500 HDMax,HS,,Material Jetting,Polymer,ABS,11.75,7.3,8,"$50,000 - $99,999"
3D Systems,ProJet 3500 HDMax,UHD,,Material Jetting,Polymer,ABS,11.75,7.3,8,"$50,000 - $99,999"
3D Systems,ProJet 3500 HDMax,XHD,,Material Jetting,Polymer,ABS,11.75,7.3,8,"$50,000 - $99,999"
3D Systems,ProJet 3500 HDPlus,HD,,Material Jetting,Polymer,ABS,11.75,7.3,8,"$50,000 - $99,999"
3D Systems,ProJet 3500 HDPlus,UHD,,Material Jetting,Polymer,ABS,8,7,6,"$50,000 - $99,999"
3D Systems,ProJet 3500 HDPlus,XHD,,Material Jetting,Polymer,ABS,8,7,6,"$50,000 - $99,999"
3D Systems,ProJet 3500 MP,HDP,,Material Jetting,Polymer,Acrylic,11.75,7.3,8,"$50,000 - $99,999"
3D Systems,ProJet 3500 MP,HDX,,Material Jetting,Polymer,Acrylic,11.75,7.3,8,"$50,000 - $99,999"
3D Systems,ProJet 3500 SD,HD,,Material Jetting,Polymer,ABS,11.75,7.3,8,"$50,000 - $99,999"
3D Systems,ProJet 360,Monochrome,,Binder Jetting,Composite,Gypsum,8,10,8,"Less than $49,999"
3D Systems,ProJet 4500,Standard,,Binder Jetting,Polymer,,8,10,8,"$50,000 - $99,999"
3D Systems,ProJet 460Plus,Full CMY,,Binder Jetting,Composite,Gypsum,8,10,8,"Less than $49,999"
3D Systems,ProJet 5000,HD,,Material Jetting,Polymer,"ABS/PP, PP",21,15,11.8,"$100,000 - $249,999"
3D Systems,ProJet 5000,HS,,Material Jetting,Polymer,"ABS/PP, PP",21,15,11.8,"$100,000 - $249,999"
3D Systems,ProJet 5000,UHD,,Material Jetting,Polymer,"ABS/PP, PP",21,15,11.8,"$100,000 - $249,999"
3D Systems,Projet 5500X,HD,,Material Jetting,Polymer,"ABS, PC, Rubber",21,15,11.8,"$100,000 - $249,999"
3D Systems,Projet 5500X,UHD,,Material Jetting,Polymer,"ABS, PC, Rubber",21,15,11.8,"$100,000 - $249,999"
3D Systems,ProJet 6000 HD,HD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS, ABS/PP, PC, PP",10,10,10,"$100,000 - $249,999"
3D Systems,ProJet 6000 HD,UHD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS, ABS/PP, PC, PP",10,10,10,"$100,000 - $249,999"
3D Systems,ProJet 6000 HD,XHD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS, ABS/PP, PC, PP",10,10,10,"$100,000 - $249,999"
3D Systems,ProJet 6000 MP,HD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS, ABS/PP, PC, PP",10,10,10,"$100,000 - $249,999"
3D Systems,ProJet 6000 MP,UHD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS, ABS/PP, PC, PP",10,10,10,"$100,000 - $249,999"
3D Systems,ProJet 6000 MP,XHD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS, ABS/PP, PC, PP",10,10,10,"$100,000 - $249,999"
3D Systems,ProJet 6000 SD,HD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS, ABS/PP, PC, PP",10,10,10,"$100,000 - $249,999"
3D Systems,ProJet 6000 SD,UHD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS, ABS/PP, PC, PP",10,10,10,"$100,000 - $249,999"
3D Systems,ProJet 660Pro,Full CMYK,,Binder Jetting,Composite,Gypsum,10,15,8,"$50,000 - $99,999"
3D Systems,ProJet 7000 HD,HD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS, ABS/PP, PC, PP",15,15,10,"$250,000 - $499,999"
3D Systems,ProJet 7000 HD,UHD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS, ABS/PP, PC, PP",15,15,10,"$250,000 - $499,999"
3D Systems,ProJet 7000 HD,XHD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS, ABS/PP, PC, PP",15,15,10,"$250,000 - $499,999"
3D Systems,ProJet 7000 MP,HD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS, ABS/PP, PC, PP",15,15,10,"$250,000 - $499,999"
3D Systems,ProJet 7000 MP,UHD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS, ABS/PP, PC, PP",15,15,10,"$250,000 - $499,999"
3D Systems,ProJet 7000 MP,XHD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS, ABS/PP, PC, PP",15,15,10,"$250,000 - $499,999"
3D Systems,ProJet 7000 SD,HD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS, ABS/PP, PC, PP",15,15,10,"$250,000 - $499,999"
3D Systems,ProJet 7000 SD,UHD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS, ABS/PP, PC, PP",15,15,10,"$250,000 - $499,999"
3D Systems,ProJet 860Pro,Full CMYK,,Binder Jetting,Composite,Gypsum,20,15,9,"$100,000 - $249,999"
3D Systems,ProX 100,,50,Powder Bed Fusion (e.g. SLS),"Metal, Ceramic, Composite","Steel, Cobalt, Nickel, Aluminum, Titanium, Cermet",3.94,3.94,3.14,"$100,000 - $249,999"
3D Systems,ProX 100,Dental,50,Powder Bed Fusion (e.g. SLS),"Metal, Ceramic, Composite","Steel, Cobalt, Nickel, Aluminum, Titanium, Cermet",3.94,3.94,3.14,"$100,000 - $249,999"
3D Systems,ProX 200,,300,Powder Bed Fusion (e.g. SLS),"Metal, Ceramic, Composite","Steel, Cobalt, Nickel, Aluminum, Titanium, Cermet",5.51,5.51,3.94,"$250,000 - $499,999"
3D Systems,ProX 200,Dental,300,Powder Bed Fusion (e.g. SLS),"Metal, Ceramic, Composite","Steel, Cobalt, Nickel, Aluminum, Titanium, Cermet",5.51,5.51,3.94,"$250,000 - $499,999"
3D Systems,ProX 300,,500,Powder Bed Fusion (e.g. SLS),"Metal, Ceramic, Composite","Steel, Cobalt, Nickel, Aluminum, Titanium, Cermet",9.84,9.84,11.81,"$500,000 - $999,999"
3D Systems,ProX 400,,500,Powder Bed Fusion (e.g. SLS),"Metal, Ceramic","Steel, Cobalt, Aluminum, Titanium",19.69,19.69,19.69,Price not reported
3D Systems,ProX 400,,1000,Powder Bed Fusion (e.g. SLS),"Metal, Ceramic","Steel, Cobalt, Aluminum, Titanium",19.69,19.69,19.69,Price not reported
3D Systems,ProX 500,Standard,100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer",PA,15,13,18,"$250,000 - $499,999"
3D Systems,ProX 500 Plus,,100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Metal",15,13,18,"$250,000 - $499,999"
3D Systems,ProX 800,Full,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer","ABS, ABS/PP, PP",25.6,29.5,21.65,"$250,000 - $499,999"
3D Systems,ProX 800,Half,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer","ABS, ABS/PP, PP",25.6,29.5,10.8,"$250,000 - $499,999"
3D Systems,ProX 800,Short,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer","ABS, ABS/PP, PP",25.6,29.5,1.97,"$250,000 - $499,999"
3D Systems,ProX 950,RDM 950,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS, ABS/PP, PP",59,30,22,"$500,000 - $999,999"
3D Systems,sPro 140,Base,70,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","ABS/PP, PA, PA-Glass, Rubber",22,22,18,"$500,000 - $999,999"
3D Systems,sPro 140,HS,200,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","ABS/PP, PA, PA-Glass, Rubber",22,22,18,"$500,000 - $999,999"
3D Systems,sPro 230,Base,70,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","ABS/PP, PA, PA-Glass, Rubber",22,22,30,"$500,000 - $999,999"
3D Systems,sPro 230,HS,200,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","ABS/PP, PA, PA-Glass, Rubber",22,22,30,"$500,000 - $999,999"
3D Systems,sPro 60,HD Base,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","ABS/PP, PA, PA-Glass, Rubber",15,13,18,"$250,000 - $499,999"
3D Systems,sPro 60,HD-HS,70,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","ABS/PP, PA, PA-Glass, Rubber",15,13,18,"$250,000 - $499,999"
